id_image,name_recipe
cea13be3-ce46-42e7-aac3-7f9b415ddac2,Receta de bollitos de calabaza
ce6940d2-98c1-40d2-9422-405e3b9e8728,Tortilla de champiñones
505363ae-5402-4e7b-a200-46e897a2ae2f,Ensalada de patata
9de1c9d5-3420-4ecc-9b12-315e3d0624ee,Carpaccio de calabacín
9f1b756f-501c-41b8-8371-5f8ddba7f44b,Anchoas asadas al limón
e7da4c83-d2ad-4927-9d92-bb368cf3d778,Coliflor en filetes al horno
198f06f5-1eb9-44e8-9431-ea59a34ccb40,Merluza con costra de pistachos y crema de guisantes
c0dd224c-da3c-4f00-8f19-1dd635a791f0,Espárragos frescos con mayonesa de huevo duro
51939d16-deef-474b-bbb7-bc4c5ed005e8,Pollo al curry
538a2ae5-0318-4c6f-afa3-791a090d9353,Bizcocho de cumpleaños para bebe
01721aa9-6a10-4017-8419-00d7752a254b,Falso risotto de setas
2b7ed1bf-0ae4-4f9d-ade8-d09e8ea83d22,Árbol de navidad de frutas
1b4de786-cc49-4d83-8912-6e62f2ba3f06,Alcachofas con almejas y patatas
362cbda6-3c92-4507-9d1f-b2ca8aff29de,Tostada de pera con queso
0fb1d3b5-2c47-4462-85a6-7a40fde6138e,Mini pancakes de avena y plátano
ff1f4f4d-516d-455b-beeb-3abb0122099b,Lasaña de acelgas y queso
ff50dfde-65c3-495d-b1a6-21fc8fa69f0f,Garbanzos con espinacas
746086a6-f167-4ba7-b058-6e7e4e25f287,Albóndigas de pollo al curry
9b033dc7-0f17-4041-aa7e-b130d854e29b,Alubias rojas con verduras
aed4ceaa-41b0-4b19-b6f8-bbe872b6f3ce,Arroz con leche
82cecc93-9d67-4fc8-99c3-955bb4b79e87,Romanesco salteado con tomate y cebolla
af44e250-b5ce-47aa-be9a-6ec6ec2856ff,Sopa de ajo
cb62a07c-3660-43be-8c07-5571e33c26d8,Bolitas de zanahoria y coco
3588b1bd-607d-4037-848a-d0b350aebaae,Bacalao con salsa de naranja
23cbfaf6-d39c-4668-9f29-d192219e8319,Mona de Pascua
57bc4f95-5df7-4d93-a60d-b06aa5c1f763,Arroz verde con verduras
34a06949-abe4-4d88-87c6-ec9a40733e5c,Patatas Hasselback
19fa9c55-228a-4865-a3f7-9d87925969bf,Espirales de calabacín
9170802c-3ae2-43b1-b8d2-4fd3beef4736,Champiñones rellenos de pera y queso
4f020f74-508e-46bc-bf15-369dbbb31e14,Brócoli salteado con pollo
1c5ccf84-9808-45b5-b9d1-53805344377e,Crema de calabaza con especias
cd3f69db-d87c-4ae1-aed6-e7de5ff90ad9,Berenjenas a la plancha con salsa de yogur y granada
75e7fbbe-9736-4a08-9f34-d4bdc6c07bfa,Galletas saludables de plátano
0ae6c876-cf29-4f6c-9310-69405299edbe,Champiñones con queso Brie
116ce572-b5d2-4aa4-ae5f-eda20bc89443,Helado de plátano y queso fresco
5be0d89c-6532-44c0-b254-fc4306381a5d,Tortitas de avena con fresas y avellanas
6f03af8e-aa4c-4742-89f7-eda5091b3dcd,Láminas de espárragos con legumbres
2f640be2-1749-41bf-9ad7-04cde082b26f,Ensalada de pepino y rábanos
95b7466b-6871-475b-addd-2bd6de053b60,Merluza con crema de coliflor al ras al hanout
d11927cc-cffb-4129-97b1-f70631cb0dd5,Tortillas mexicanas de maíz para tacos
2f03e221-a2d2-4ce6-a46c-734eb375fc06,Crema fría de puerro y manzana
e73323c5-ba8d-4f02-b732-c9bc65f19cac,Salmón marinado con semillas 
c8365f41-78fc-405f-a9e2-6587a4d57bbf,Tortilla de patata vegana (sin huevo)
11a4c33a-50dd-4fea-98a5-f10d7a8105ef,Solomillo de cerdo con salsa de peras
50e3e455-82fd-4499-a77d-c6183cd5c203,Gazpacho
3c06823d-9e52-4617-9234-183925cd8a16,Pizzetas de calabacín
b63b5dc0-3dfa-4c24-ac10-aff2b6beea2d,Migas de coliflor con pimentón
75df4632-a83e-47d3-99dd-a6b03de5a995,Galletas navideñas de mantequilla
08b44bbc-8bc6-4901-9a29-9a645b708dac,Gazpacho de sandía
ccf1b222-ae78-488b-bb2d-0282dc9ca0a7,Chocolate caliente keto
17646889-837d-4e15-b535-3a8f8988af97,Mini pimientos al horno bajos en carbos
9bbc3ab4-8e0d-4b18-aebb-bbb74703071b,Refrigerio de ensalada caprese low carb
42d7f884-297a-4082-bcf1-b35001971d45,Queso crema bajo en carbos con hierbas
dde9d8d5-40e5-4e18-85e2-31dfff9e6177,Copas de chocolate y mantequilla de cacahuete
c28e403b-38c3-46ae-aa5b-c60d25b50399,Bolitas cetogénicas de panceta y queso cheddar
19e11267-d5c7-4736-904e-3fc31ce9fa7b,Frituritas keto de pollo
2a084852-4b33-4eb5-9ec4-5ee5e05c1a8d,Mini pimientos rellenos
1119e70d-56a8-4a0f-91c3-51f7160e8d21,&#8220;Papas&#8221; fritas de berenjena bajas en carbos
03c1eb52-6270-4159-84c9-705192db25bc,Ensalada keto de camarones con eneldo
d3aff99c-5dd0-4e34-ab70-205aed669eee,Mantequilla de almendras casera
d22fe099-5505-45ad-8673-a4fcde901eb9,Barras de granola bajas en carbohidratos
7afc5818-77ed-48f3-8172-3b059552c53c,Bombas de grasa de canela y cardamomo
afce9ce6-f738-46bd-a4d4-23931064f57d,Bombas de grasa navideñas
6d3d43fc-5576-4a60-a18a-20fefbb6f988,Queso brie cetogénico al horno
793d0f4a-f3c9-430c-bf44-790cfd0b4a18,Trufas de chocolate con aguacate bajas en carbohidratos
90da0dbf-7c08-4e48-bf4e-971c0757f0c7,Bombas de grasa keto con chocolate y nueces de macadamia
1cfb2ce8-770a-469c-a478-fba51c6c1118,Ratoncitos de huevo keto
bab50a15-d3c2-43e0-9800-6fc6af04614f,Mermelada de frambuesa baja en carbohidratos
291d5cbf-2678-4761-a9c2-eb920c6eab4d,"Carpaccio low carb de calabacín, tomate y queso"
6405f421-713e-41ce-9cbe-564ed7eebf33,Pescado keto asado al estilo Caprese
d12b9b59-d83f-4986-aa0d-0e1c27478218,Tacos keto cremosos con camarones (gambas)
67896d1b-fa13-430a-9b86-34d05532fa8b,"Ensalada de calabacín a la plancha, queso de cabra y menta"
