nombre ingrediente,unidades,lenguaje
aceituna,Lata pequeña;150.0,es
Bacalao,unidad;150.0,es
Jamon,loncha;21.0,es
Eritritol,unidad;0.1|gota;0.1,es
Zapallo italiano,oz pequeño;118,es
Alcachofa,pequeña;100.0,es
Eneldo,unidad;5|manojo;50.0,es
Pollo entero,unidad;1800.0,es
Curry,unidad;15.0|Taza;123,es
Miel,unidad;5.0,es
Aceite de oliva,unidad;3.0,es
Queso chedar,rebanada;5.0,es
Esparrago,fino;16.0,es
Cebolla,pequeña;85.0,es
Caldo de pescado,unidad;10,es
Azafran,unidad;1.0,es
Porotos granados,lata;560.0,es
Leche,unidad;958.0,es
Chocolate,puñado;25.0,es
Moras,pinta;380,en
Tocino,tira;16,en
Puré de zapallo,lata;475,en
Tortilla,unidad;120|taza;100,en
Berenjena,pequeña;459,en
Frambuesa,pinta;300,en
Uvas,cucharada;15,en
Piña,unidad;1800,en
Cebolla,bolsa;453,en
Mango,cucharada;15,en
Palta,pequeño;100,en
Caldo de verduras,cuarto;230,en
Cebolla morada,pequeña;85.0,en
Zapallo,pequeña;500,en
Anacardos,taza;150,en
Chocolate,cucharada;19,en
Porotos negros,lata;240,en
Queso feta,taza;160|cucharada;13,en
Aceituna negra,lata;310,en
Té,taza;230,en
Damasco,unidad;120,en
Cerezas,lata;325,en
Salvia deshidratada,taza;200,en
Zapallo,cucharada;17,en
Uvas,unidad;4,en
Tofu,taza;240|paquete;340|unidad;30,en
Arroz integral,taza;200,en
Repollo,manojo;500|bolsa;600|racimo;500,en
Leche de coco,unidad;900,en
Ají en polvo,unidad;30|taza;190.0,en
Almejas,lata;200.0,en
Champiñones shiitake,taza;70|unidad;19,en
Ajo,grande;8,en
Betarraga,lata;190,en
Cilantro,manojo;50.0
